carID,price,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
18698,24998,merc, S Class,2015,Semi-Auto,29036,Diesel,160,50.4,3
12646,17000,vw, Scirocco,2017,Automatic,34203,Diesel,145,62.8,2
18259,9499,toyota, Avensis,2016,Manual,29535,Diesel,20,67.3,1.6
16487,23995,bmw, M5,2012,Automatic,51000,Petrol,555,28.5,4.4
17871,14500,ford, Grand C-MAX,2017,Manual,4040,Petrol,145,54.3,1
12207,9795,hyundi, IX20,2017,Manual,10279,Petrol,145,50.4,1.4
14600,16299,vw, Scirocco,2017,Manual,24481,Diesel,150,55.4,2
15106,34900,vw, Amarok,2019,Automatic,6898,Diesel,260,33.6,3
16533,15940,vw, Scirocco,2016,Manual,17141,Diesel,20,55.4,2
19146,28990,vw, Arteon,2019,Automatic,6000,Diesel,145,50.4,2
18894,27900,vw, Amarok,2018,Automatic,13764,Diesel,260,36.2,3
13800,17750,ford, Galaxy,2016,Automatic,35646,Diesel,160,51.4,2
18243,5300,ford, KA,2013,Manual,17427,Petrol,30,57.7,1.2
15659,13750,skoda, Yeti,2017,Manual,19956,Diesel,145,62.8,2
18780,18000,ford, Galaxy,2016,Manual,27315,Diesel,125,56.5,2
18933,20000,toyota, Prius,2017,Automatic,9891,Hybrid,0,85.6,1.8
14400,10941,vw, Beetle,2016,Manual,21930,Petrol,125,51.4,1.2
13598,54900,merc, CLA Class,2020,Automatic,3600,Petrol,145,33.2,2
16243,26922,ford, Tourneo Custom,2019,Manual,1410,Diesel,145,30.1,2
19046,18150,toyota, Prius,2018,Automatic,59191,Other,135,235,1.8
14995,17990,ford, Galaxy,2016,Manual,23300,Diesel,125,56.5,2
16156,19995,vw, Caravelle,2011,Automatic,86000,Diesel,325,34.4,2
12780,44990,merc, GLS Class,2019,Automatic,11607,Diesel,145,37.2,3
17230,13998,ford, Grand Tourneo Connect,2017,Manual,4856,Diesel,145,61.4,1.5
19154,20950,toyota, Prius,2018,Automatic,10549,Hybrid,135,94.1,1.8
17170,19498,hyundi, Santa Fe,2017,Semi-Auto,12957,Diesel,240,42.8,2.2
14155,19495,bmw, i3,2017,Automatic,17338,Hybrid,135,470.8,0
17308,41999,bmw, X4,2019,Semi-Auto,6449,Diesel,145,37.2,3
13255,29998,merc, V Class,2017,Semi-Auto,41298,Diesel,205,45.6,2.2
14311,42460,bmw, X4,2019,Automatic,2188,Petrol,145,26.9,3
19393,22990,toyota, Prius,2019,Automatic,3982,Hybrid,135,61.4,1.8
12301,17650,toyota, Prius,2016,Automatic,48297,Hybrid,0,85.6,1.8
18687,8790,vauxhall, GTC,2015,Manual,32160,Petrol,160,44.8,1.6
17760,31888,audi, RS3,2017,Automatic,38000,Petrol,150,34,2.5
14908,26995,vw, Tiguan Allspace,2019,Automatic,7971,Diesel,145,39.2,2
13431,24990,merc, V Class,2019,Manual,5000,Diesel,145,46.3,2.1
18937,84496,audi, Q8,2020,Automatic,3522,Diesel,145,30.7,4
18506,13981,vw, Beetle,2017,Manual,30456,Diesel,150,67.3,2
19464,23400,bmw, 6 Series,2017,Automatic,23954,Petrol,260,36.7,3
14547,19490,ford, Tourneo Custom,2017,Manual,23838,Diesel,150,44.8,2
16274,14500,ford, Galaxy,2016,Manual,87180,Diesel,125,56.5,2
15587,23000,bmw, X4,2017,Semi-Auto,18441,Diesel,145,54.3,2
16201,16991,skoda, Kamiq,2019,Manual,458,Petrol,150,49.6,1
15510,33791,hyundi, Santa Fe,2019,Semi-Auto,5883,Diesel,145,39.2,2.2
17859,37980,bmw, X4,2019,Semi-Auto,1852,Diesel,145,40.4,3
14084,25995,vw, Amarok,2017,Automatic,25624,Diesel,260,36.2,3
12842,22795,ford, Edge,2018,Semi-Auto,12815,Diesel,150,48.7,2
18313,12295,vauxhall, Zafira Tourer,2017,Manual,21000,Diesel,145,62.8,1.6
13822,22000,vw, Caddy Life,2020,Manual,1700,Diesel,150,51.4,2
13743,42490,audi, RS3,2020,Automatic,10,Petrol,145,30.1,2.5
15657,35480,bmw, X4,2019,Semi-Auto,7414,Diesel,145,42.8,2
13428,4391,ford, KA,2013,Manual,22995,Petrol,30,57.7,1.2
16488,11998,ford, Grand C-MAX,2016,Manual,34883,Diesel,30,61.4,2
17023,16495,vw, Scirocco,2018,Manual,30532,Diesel,145,53.3,2
15880,37991,ford, Mustang,2019,Automatic,1055,Petrol,145,22.1,5
16626,53995,bmw, 7 Series,2020,Semi-Auto,3500,Diesel,145,42.2,3
18385,6995,toyota, Prius,2010,Automatic,67000,Hybrid,0,70.6,1.8
19302,31720,audi, A7,2019,Automatic,15302,Diesel,145,47.1,2
19063,14999,ford, Galaxy,2016,Manual,33883,Diesel,125,56.5,2
16416,17995,toyota, Prius,2018,Automatic,44512,Hybrid,135,94.1,1.8
19186,14382,vw, Scirocco,2016,Manual,32526,Petrol,125,52.3,1.4
12421,34950,vw, Shuttle,2019,Semi-Auto,10000,Diesel,150,32.8,2
15939,10712,vw, CC,2016,Automatic,54355,Diesel,125,58.9,2
14971,27450,bmw, Z4,2019,Semi-Auto,7363,Petrol,145,38.2,2
16249,14972,merc, CLS Class,2013,Semi-Auto,64777,Diesel,205,47.1,3
16100,42900,merc, CLS Class,2019,Semi-Auto,7301,Diesel,145,47.9,2.9
14801,4500,ford, KA,2013,Manual,33761,Petrol,30,57.7,1.2
18138,36950,audi, SQ5,2017,Automatic,27000,Petrol,150,34,3
17046,12995,hyundi, IX20,2018,Manual,3250,Petrol,145,37.2,1.6
12084,15490,skoda, Scala,2019,Manual,3501,Petrol,145,49.6,1
18661,56400,audi, RS5,2019,Semi-Auto,2469,Petrol,150,29.7,2.9
17430,34000,bmw, X4,2019,Semi-Auto,8515,Diesel,145,42.8,2
16752,33999,bmw, 6 Series,2020,Semi-Auto,11,Petrol,145,42.8,2
19529,5495,skoda, Rapid,2013,Manual,29750,Petrol,125,52.3,1.2
15544,13522,toyota, Prius,2013,Automatic,52217,Hybrid,0,134.5,1.8
12997,22511,ford, Edge,2017,Semi-Auto,25725,Diesel,145,47.9,2
15560,15495,skoda, Yeti,2017,Manual,13591,Petrol,145,51.4,1.2
16273,20000,ford, Edge,2017,Automatic,19039,Diesel,160,48.7,2
13104,4995,merc, SLK,2006,Automatic,75000,Petrol,555,28,3.5
16336,9000,skoda, Yeti,2014,Manual,43429,Diesel,30,61.4,1.6
15333,64999,merc, GLS Class,2018,Semi-Auto,41102,Petrol,145,23,5.5
18089,35995,hyundi, Santa Fe,2020,Semi-Auto,1801,Diesel,145,39.8,2.2
17874,5666,ford, KA,2016,Manual,30225,Petrol,30,57.7,1.2
19347,16250,skoda, Scala,2019,Semi-Auto,5000,Petrol,145,47.1,1
17270,13000,toyota, GT86,2014,Manual,39761,Petrol,265,36.2,2
14902,10480,skoda, Yeti,2015,Manual,32800,Diesel,165,49.6,2
15948,31999,bmw, 6 Series,2019,Semi-Auto,7994,Petrol,145,42.8,2
18075,27990,vw, Amarok,2019,Automatic,16898,Diesel,260,33.6,3
16060,22500,skoda, Kamiq,2019,Semi-Auto,1500,Petrol,145,43.5,1.5
18851,10995,ford, Grand Tourneo Connect,2015,Manual,30760,Diesel,115,58.9,1.6
18556,31000,merc, X-CLASS,2017,Automatic,11447,Diesel,260,35.8,2.3
15116,18490,skoda, Kamiq,2020,Manual,1500,Petrol,145,49.6,1
12261,12490,ford, Grand C-MAX,2017,Manual,8121,Petrol,145,54.3,1
18981,15990,hyundi, I800,2018,Automatic,34605,Diesel,145,28,2.5
17093,32995,hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,145,40.9,2.2
14652,8990,skoda, Rapid,2017,Manual,23002,Petrol,145,57.7,1.2
16202,71995,merc, G Class,2017,Automatic,38247,Petrol,145,20.5,5.5
18517,9490,hyundi, IX20,2017,Manual,21354,Petrol,145,50.4,1.4
16598,17995,skoda, Scala,2019,Automatic,3500,Petrol,145,45.6,1.5
16333,18000,ford, Galaxy,2017,Semi-Auto,40838,Diesel,145,52.3,2
16002,33000,ford, Edge,2019,Automatic,4694,Diesel,145,37.2,2
18163,18500,hyundi, I800,2019,Manual,7691,Diesel,150,31.7,0
12150,44500,vw, Caravelle,2019,Automatic,11163,Diesel,145,33.6,2
12036,7995,skoda, Rapid,2018,Manual,12231,Petrol,145,62.8,1
19622,12998,toyota, GT86,2014,Manual,25499,Petrol,260,36.2,2
13578,4990,ford, KA,2009,Manual,6000,Petrol,30,55.4,1.2
15531,43495,vw, Caravelle,2020,Semi-Auto,2000,Diesel,150,33.6,2
14617,36980,merc, GLB Class,2020,Semi-Auto,19,Diesel,145,46.3,2
14686,9475,hyundi, IX35,2014,Manual,53544,Diesel,165,51.4,2
12797,49499,toyota, Supra,2019,Automatic,10,Petrol,145,34.5,3
15425,11000,skoda, Yeti,2014,Manual,13593,Petrol,165,46.3,1.2
12794,45990,bmw, X4,2020,Semi-Auto,7724,Diesel,145,37.2,3
16440,20500,merc, GL Class,2017,Automatic,56316,Diesel,125,56.5,2.1
13691,30580,merc, S Class,2017,Semi-Auto,26699,Diesel,145,50.4,3
15330,16725,vw, Scirocco,2018,Manual,27885,Petrol,145,47.1,2
18652,6998,skoda, Rapid,2015,Manual,18926,Diesel,30,64.2,1.6
12066,21591,merc, CLS Class,2016,Automatic,17730,Diesel,165,51.4,3
18199,5945,hyundi, IX20,2014,Manual,42000,Petrol,125,50.4,1.4
18943,7050,hyundi, I40,2015,Manual,68969,Diesel,20,67.3,1.7
